"Record.Start.Time","Record.End.Time","Date.of.Transaction","Batch_Number","Select.Account.Type","Select.Category","Select.Category.1","Select.Category.2","Select.Category.3","Description","Quantity","Unit.Price..UGX.","Amount_UGX","Amount.Calculated..UGX.","Comment","Please.take.photo.of.any.receipt.or.proof.of.payment","Please.take.photo.of.any.receipt.or.proof.of.payment_URL","X_id","X_uuid","X_submission_time","X_validation_status","X_notes","X_status","X_submitted_by","X__version__","X_tags","X_index"
"2025-01-31","2025-01-31","2025-01-28","Batch 4","Cost of Goods Sold (COGS)","","","Chicks Purchased","","Joseph bought 250 Day old chicks ",250,2900,725000,725000,"Joseph went to buy ","1738342006275.jpg","https://kc.kobotoolbox.org/media/original?media_file=mattkuch87%2Fattachments%2F465cf73fec9d4570897ec1ad4b0948db%2Ff316ff8d-0a5a-448e-9f18-a1fae6e120b8%2F1738342006275.jpg",435824212,"f316ff8d-0a5a-448e-9f18-a1fae6e120b8","2025-01-31",NA,NA,"submitted_via_web","mattkuch87","vndXtdUm72BfFettfRRAK9",NA,2
"2025-02-04","2025-02-04","2025-02-03","Batch 4","Cost of Goods Sold (COGS)","","","Veterinary Supplies","","500 doses of Newcastle ib for week 1",500,20,10000,10000,"Balance from sales ","1738662068344.jpg","https://kc.kobotoolbox.org/media/original?media_file=mattkuch87%2Fattachments%2F465cf73fec9d4570897ec1ad4b0948db%2Fed1ae2c7-4428-443b-821f-6cb7ed08fc4c%2F1738662068344.jpg",436871999,"ed1ae2c7-4428-443b-821f-6cb7ed08fc4c","2025-02-04",NA,NA,"submitted_via_web","mattkuch87","vndXtdUm72BfFettfRRAK9",NA,4
"2025-02-04","2025-02-04","2025-02-04","Batch 4","Operating Expenditure (OPEX)","","Utilities (Electricity, Water, etc.)","","","Charcoal",1,65000,65000,65000,"Cash at hand","1738677179361.jpg","https://kc.kobotoolbox.org/media/original?media_file=mattkuch87%2Fattachments%2F465cf73fec9d4570897ec1ad4b0948db%2F188c5375-8c08-445d-bd50-1fc3da1b656f%2F1738677179361.jpg",436978487,"188c5375-8c08-445d-bd50-1fc3da1b656f","2025-02-04",NA,NA,"submitted_via_web","mattkuch87","vndXtdUm72BfFettfRRAK9",NA,5
"2025-02-06","2025-02-06","2025-02-06","Batch 4","Operating Expenditure (OPEX)","","Other Operating Expenses","","","Ultra clean disinfectant ",500,20000,20000,10000000,"Withdrawn money ","1738852203536.jpg","https://kc.kobotoolbox.org/media/original?media_file=mattkuch87%2Fattachments%2F465cf73fec9d4570897ec1ad4b0948db%2Ff209b46d-9634-4d25-bc07-7773776830dd%2F1738852203536.jpg",437801554,"f209b46d-9634-4d25-bc07-7773776830dd","2025-02-06",NA,NA,"submitted_via_web","mattkuch87","vndXtdUm72BfFettfRRAK9",NA,8
"2025-02-07","2025-02-07","2025-02-07","Batch 4","Cost of Goods Sold (COGS)","","","Veterinary Supplies","","Multivitamin ",1,47000,47000,47000,"Withdrawn money ","1738918598119.jpg","https://kc.kobotoolbox.org/media/original?media_file=mattkuch87%2Fattachments%2F465cf73fec9d4570897ec1ad4b0948db%2F1b68b746-a364-4bd6-81f5-a2316a0509fd%2F1738918598119.jpg",438059752,"1b68b746-a364-4bd6-81f5-a2316a0509fd","2025-02-07",NA,NA,"submitted_via_web","mattkuch87","vndXtdUm72BfFettfRRAK9",NA,11
"2025-02-07","2025-02-07","2025-02-07","Batch 6","Cost of Goods Sold (COGS)","","","Chicks Purchased","","Day old chicks from ken chicks ",350,3200,1120000,1120000,"Withdrawn money ","1738918781499.jpg","https://kc.kobotoolbox.org/media/original?media_file=mattkuch87%2Fattachments%2F465cf73fec9d4570897ec1ad4b0948db%2Fd10e47ac-659a-4507-8be6-6e588fdc3aba%2F1738918781499.jpg",438070126,"d10e47ac-659a-4507-8be6-6e588fdc3aba","2025-02-07",NA,NA,"submitted_via_web","mattkuch87","vndXtdUm72BfFettfRRAK9",NA,12
"2025-02-07","2025-02-07","2025-02-07","Batch 6","Operating Expenditure (OPEX)","","Transportation Costs","","","From home to gayaza and back to home ",5000,5000,5000,25000000,"Withdrawn money ","1738920548731.jpg","https://kc.kobotoolbox.org/media/original?media_file=mattkuch87%2Fattachments%2F465cf73fec9d4570897ec1ad4b0948db%2F637db048-cf31-4bd1-ace0-d17f6cace1c5%2F1738920548731.jpg",438071727,"637db048-cf31-4bd1-ace0-d17f6cace1c5","2025-02-07",NA,NA,"submitted_via_web","mattkuch87","vndXtdUm72BfFettfRRAK9",NA,13
"2025-02-10","2025-02-10","2025-02-10","Batch 4","Cost of Goods Sold (COGS)","","","Veterinary Supplies","","Gombolo vaccine ",1000,13,13000,13000,"Withdrawn money ","1739181593398.jpg","https://kc.kobotoolbox.org/media/original?media_file=mattkuch87%2Fattachments%2F465cf73fec9d4570897ec1ad4b0948db%2Feebb5f2f-c50e-499b-bbae-0093c716686b%2F1739181593398.jpg",438972154,"eebb5f2f-c50e-499b-bbae-0093c716686b","2025-02-10",NA,NA,"submitted_via_web","mattkuch87","vndXtdUm72BfFettfRRAK9",NA,14
"2025-02-10","2025-02-10","2025-02-10","Batch 4","Operating Expenditure (OPEX)","","Transportation Costs","","","Transport from kiziri to kiwenda then to busiika and back to kiziri ",5000,5000,5000,25000000,"Withdrawn money ","1739182045060.jpg","https://kc.kobotoolbox.org/media/original?media_file=mattkuch87%2Fattachments%2F465cf73fec9d4570897ec1ad4b0948db%2F3a70b851-b833-4128-95ef-8c71790a6626%2F1739182045060.jpg",438974910,"3a70b851-b833-4128-95ef-8c71790a6626","2025-02-10",NA,NA,"submitted_via_web","mattkuch87","vndXtdUm72BfFettfRRAK9",NA,15
"2025-02-10","2025-02-10","2025-02-10","Batch 4","Operating Expenditure (OPEX)","","Transportation Costs","","","From kiziri to kiwenda and back to kiziri ",2000,2000,2000,4000000,"Cash at hand ","1739207490521.jpg","https://kc.kobotoolbox.org/media/original?media_file=mattkuch87%2Fattachments%2F465cf73fec9d4570897ec1ad4b0948db%2F95d4c635-85e1-4b2d-a236-a7f548a9f81e%2F1739207490521.jpg",439150263,"95d4c635-85e1-4b2d-a236-a7f548a9f81e","2025-02-10",NA,NA,"submitted_via_web","mattkuch87","vndXtdUm72BfFettfRRAK9",NA,17
