Record Start Time,Record End Time,Date of Transaction,Select Batch Number,Select Account Type,Select Category,Select Category,Select Category,Select Category,Description,Quantity,Unit Price (UGX),Amount (UGX),Amount Calculated (UGX),Comment,Please take photo of any receipt or proof of payment,Please take photo of any receipt or proof of payment_URL,_id,_uuid,_submission_time,_validation_status,_notes,_status,_submitted_by,__version__,_tags,_index
2025-01-31,2025-01-31,2025-01-29,Batch 3,Cost of Goods Sold (COGS),,,Feed Costs,,Week 4 Feeds for Batch 3 - 170kgs mix ,170,2000,340000,340000,Send to Joseph today evening ,1738337692963.jpg,https://kc.kobotoolbox.org/media/original?media_file=mattkuch87%2Fattachments%2F465cf73fec9d4570897ec1ad4b0948db%2Fd9590a97-9227-4ca0-9efe-01af67acba6a%2F1738337692963.jpg,435798016,d9590a97-9227-4ca0-9efe-01af67acba6a,2025-01-31,,,submitted_via_web,mattkuch87,vndXtdUm72BfFettfRRAK9,,1
2025-01-31,2025-01-31,2025-01-28,Batch 4,Cost of Goods Sold (COGS),,,Chicks Purchased,,Joseph bought 250 Day old chicks ,250,2900,725000,725000,Joseph went to buy ,1738342006275.jpg,https://kc.kobotoolbox.org/media/original?media_file=mattkuch87%2Fattachments%2F465cf73fec9d4570897ec1ad4b0948db%2Ff316ff8d-0a5a-448e-9f18-a1fae6e120b8%2F1738342006275.jpg,435824212,f316ff8d-0a5a-448e-9f18-a1fae6e120b8,2025-01-31,,,submitted_via_web,mattkuch87,vndXtdUm72BfFettfRRAK9,,2
2025-02-04,2025-02-04,2025-02-03,Batch 3,Cost of Goods Sold (COGS),,,Veterinary Supplies,,Vaccines Gumboro 500 doses for week 4,500,20,10000,10000,Balance of 25th and 26th January 2025,1738661199097.jpg,https://kc.kobotoolbox.org/media/original?media_file=mattkuch87%2Fattachments%2F465cf73fec9d4570897ec1ad4b0948db%2F8440fce6-e742-4c16-b7e8-5f26e43cc5c5%2F1738661199097.jpg,436865976,8440fce6-e742-4c16-b7e8-5f26e43cc5c5,2025-02-04,,,submitted_via_web,mattkuch87,vndXtdUm72BfFettfRRAK9,,3
2025-02-04,2025-02-04,2025-02-03,Batch 4,Cost of Goods Sold (COGS),,,Veterinary Supplies,,500 doses of Newcastle ib for week 1,500,20,10000,10000,Balance from sales ,1738662068344.jpg,https://kc.kobotoolbox.org/media/original?media_file=mattkuch87%2Fattachments%2F465cf73fec9d4570897ec1ad4b0948db%2Fed1ae2c7-4428-443b-821f-6cb7ed08fc4c%2F1738662068344.jpg,436871999,ed1ae2c7-4428-443b-821f-6cb7ed08fc4c,2025-02-04,,,submitted_via_web,mattkuch87,vndXtdUm72BfFettfRRAK9,,4
2025-02-04,2025-02-04,2025-02-04,Batch 4,Operating Expenditure (OPEX),,"Utilities (Electricity, Water, etc.)",,,Charcoal,1,65000,65000,65000,Cash at hand,1738677179361.jpg,https://kc.kobotoolbox.org/media/original?media_file=mattkuch87%2Fattachments%2F465cf73fec9d4570897ec1ad4b0948db%2F188c5375-8c08-445d-bd50-1fc3da1b656f%2F1738677179361.jpg,436978487,188c5375-8c08-445d-bd50-1fc3da1b656f,2025-02-04,,,submitted_via_web,mattkuch87,vndXtdUm72BfFettfRRAK9,,5
2025-02-06,2025-02-06,2025-02-06,Batch 3,Cost of Goods Sold (COGS),,,Feed Costs,,Broken maize,140,1100,154000,154000,Withdrawn money ,1738851680876.jpg,https://kc.kobotoolbox.org/media/original?media_file=mattkuch87%2Fattachments%2F465cf73fec9d4570897ec1ad4b0948db%2F9260a3bf-26da-4f26-9563-eb0c827f2fc0%2F1738851680876.jpg,437798374,9260a3bf-26da-4f26-9563-eb0c827f2fc0,2025-02-06,,,submitted_via_web,mattkuch87,vndXtdUm72BfFettfRRAK9,,6
2025-02-06,2025-02-06,2025-02-06,Batch 3,Cost of Goods Sold (COGS),,,Feed Costs,,Hendrix concentrate ,50,4300,215000,215000,Withdrawn money ,1738851974802.jpg,https://kc.kobotoolbox.org/media/original?media_file=mattkuch87%2Fattachments%2F465cf73fec9d4570897ec1ad4b0948db%2Fb3b79a28-54d9-4ea1-97bb-364cda2aa423%2F1738851974802.jpg,437799704,b3b79a28-54d9-4ea1-97bb-364cda2aa423,2025-02-06,,,submitted_via_web,mattkuch87,vndXtdUm72BfFettfRRAK9,,7
2025-02-06,2025-02-06,2025-02-06,Batch 4,Operating Expenditure (OPEX),,Other Operating Expenses,,,Ultra clean disinfectant ,500,20000,20000,10000000,Withdrawn money ,1738852203536.jpg,https://kc.kobotoolbox.org/media/original?media_file=mattkuch87%2Fattachments%2F465cf73fec9d4570897ec1ad4b0948db%2Ff209b46d-9634-4d25-bc07-7773776830dd%2F1738852203536.jpg,437801554,f209b46d-9634-4d25-bc07-7773776830dd,2025-02-06,,,submitted_via_web,mattkuch87,vndXtdUm72BfFettfRRAK9,,8
2025-02-06,2025-02-06,2025-02-06,Batch 5,Capital Expenditure (CAPEX),Equipment,,,,Brooding papers ,6,7000,42000,42000,Withdrawn money ,1738852347917.jpg,https://kc.kobotoolbox.org/media/original?media_file=mattkuch87%2Fattachments%2F465cf73fec9d4570897ec1ad4b0948db%2F61c4e1b5-6885-4534-b3b0-909796ecf6cf%2F1738852347917.jpg,437802642,61c4e1b5-6885-4534-b3b0-909796ecf6cf,2025-02-06,,,submitted_via_web,mattkuch87,vndXtdUm72BfFettfRRAK9,,9
2025-02-06,2025-02-06,2025-02-06,Batch 3,Operating Expenditure (OPEX),,Transportation Costs,,,Transport ,10000,10000,10000,100000000,Withdrawn money ,1738852620671.jpg,https://kc.kobotoolbox.org/media/original?media_file=mattkuch87%2Fattachments%2F465cf73fec9d4570897ec1ad4b0948db%2Fad9cea27-434f-480d-a66e-c411c8c56a59%2F1738852620671.jpg,437804770,ad9cea27-434f-480d-a66e-c411c8c56a59,2025-02-06,,,submitted_via_web,mattkuch87,vndXtdUm72BfFettfRRAK9,,10
