"Batch_Number","total_revenue","total_cost","birds_sold","batch_start_date","batch_end_date","profit","profit_margin","batch_duration"
"10",8095000,7616500,667,2025-06-26,2025-08-10,478500,5.91105620753552,45
"11",3895000,3020200,302,2025-06-25,2025-08-31,874800,22.4595635430039,67
"12",4684000,3543600,349,2025-08-08,2025-10-08,1140400,24.3467122117848,61
"13",4298500,4e+06,352,2025-09-03,2025-10-29,298500,6.94428288938002,56
"14",4741000,4362100,389,2025-09-16,2025-12-03,378900,7.99198481333052,78
"4",3444000,3114000,245,2025-01-26,2025-03-17,330000,9.58188153310105,50
"5",2695500,2417000,200,2024-12-14,2025-03-31,278500,10.3320348729364,107
"6",4502500,3877700,346,2025-02-07,2025-03-31,624800,13.8767351471405,52
"7",4867000,4525500,336,2025-02-24,2025-05-14,341500,7.01664269570577,79
"8",4116000,3965500,300,2025-03-13,2025-05-31,150500,3.65646258503401,79
"9",7403500,6928000,553,2025-04-07,2025-06-14,475500,6.42263794151415,68
