"start","end","transaction_date","Batch_Number","account_type","category_capex","category_opex","category_cogs","category_revenues","description","quantity","unit_price","Amount_UGX","amount_calculated","comment","proof_of_payment","_id","uuid","__version__","instanceID","_xform_id_string","_uuid","_status","_submission_time","_validation_status","_submitted_by","rootUuid","deprecatedID"
2025-01-31 16:43:24.571,2025-01-31 16:46:59.192,2025-01-28,"4","cogs",NA,NA,"cogs_chicks_purchased",NA,"Joseph bought 250 Day old chicks",250,2900,725000,725000,"Joseph went to buy","1738342006275.jpg",435824212,"465cf73fec9d4570897ec1ad4b0948db","vndXtdUm72BfFettfRRAK9","uuid:f316ff8d-0a5a-448e-9f18-a1fae6e120b8","aZd296rDmYBHXTs4ZrAFBb","f316ff8d-0a5a-448e-9f18-a1fae6e120b8","submitted_via_web",2025-01-31 16:47:00,NA,"mattkuch87","uuid:f316ff8d-0a5a-448e-9f18-a1fae6e120b8",NA
2025-02-04 09:36:04.123,2025-02-04 09:41:24.336,2025-02-03,"4","cogs",NA,NA,"cogs_vet",NA,"500 doses of Newcastle ib for week 1",500,20,10000,10000,"Balance from sales","1738662068344.jpg",436871999,"465cf73fec9d4570897ec1ad4b0948db","vndXtdUm72BfFettfRRAK9","uuid:ed1ae2c7-4428-443b-821f-6cb7ed08fc4c","aZd296rDmYBHXTs4ZrAFBb","ed1ae2c7-4428-443b-821f-6cb7ed08fc4c","submitted_via_web",2025-02-04 09:41:55,NA,"mattkuch87","uuid:ed1ae2c7-4428-443b-821f-6cb7ed08fc4c",NA
2025-02-04 11:46:39.119,2025-02-04 13:53:21.812,2025-02-04,"4","opex",NA,"opex_utilities",NA,NA,"Charcoal",1,65000,65000,65000,"Cash at hand","1738677179361.jpg",436978487,"465cf73fec9d4570897ec1ad4b0948db","vndXtdUm72BfFettfRRAK9","uuid:188c5375-8c08-445d-bd50-1fc3da1b656f","aZd296rDmYBHXTs4ZrAFBb","188c5375-8c08-445d-bd50-1fc3da1b656f","submitted_via_web",2025-02-04 13:54:27,NA,"mattkuch87","uuid:188c5375-8c08-445d-bd50-1fc3da1b656f",NA
2025-02-06 14:27:07.818,2025-02-06 14:30:11.845,2025-02-06,"4","opex",NA,"opex_other",NA,NA,"Ultra clean disinfectant",500,20000,20000,1e+07,"Withdrawn money","1738852203536.jpg",437801554,"465cf73fec9d4570897ec1ad4b0948db","vndXtdUm72BfFettfRRAK9","uuid:f209b46d-9634-4d25-bc07-7773776830dd","aZd296rDmYBHXTs4ZrAFBb","f209b46d-9634-4d25-bc07-7773776830dd","submitted_via_web",2025-02-06 14:30:24,NA,"mattkuch87","uuid:f209b46d-9634-4d25-bc07-7773776830dd",NA
2025-02-07 08:54:08.936,2025-02-07 08:56:43.749,2025-02-07,"4","cogs",NA,NA,"cogs_vet",NA,"Multivitamin",1,47000,47000,47000,"Withdrawn money","1738918598119.jpg",438059752,"465cf73fec9d4570897ec1ad4b0948db","vndXtdUm72BfFettfRRAK9","uuid:1b68b746-a364-4bd6-81f5-a2316a0509fd","aZd296rDmYBHXTs4ZrAFBb","1b68b746-a364-4bd6-81f5-a2316a0509fd","submitted_via_web",2025-02-07 08:56:59,NA,"mattkuch87","uuid:1b68b746-a364-4bd6-81f5-a2316a0509fd",NA
2025-02-07 08:57:09.771,2025-02-07 08:59:51.175,2025-02-07,"6","cogs",NA,NA,"cogs_chicks_purchased",NA,"Day old chicks from ken chicks",350,3200,1120000,1120000,"Withdrawn money","1738918781499.jpg",438070126,"465cf73fec9d4570897ec1ad4b0948db","vndXtdUm72BfFettfRRAK9","uuid:d10e47ac-659a-4507-8be6-6e588fdc3aba","aZd296rDmYBHXTs4ZrAFBb","d10e47ac-659a-4507-8be6-6e588fdc3aba","submitted_via_web",2025-02-07 09:24:41,NA,"mattkuch87","uuid:d10e47ac-659a-4507-8be6-6e588fdc3aba",NA
2025-02-07 09:26:11.73,2025-02-07 09:29:14.373,2025-02-07,"6","opex",NA,"opex_transport",NA,NA,"From home to gayaza and back to home",5000,5000,5000,2.5e+07,"Withdrawn money","1738920548731.jpg",438071727,"465cf73fec9d4570897ec1ad4b0948db","vndXtdUm72BfFettfRRAK9","uuid:637db048-cf31-4bd1-ace0-d17f6cace1c5","aZd296rDmYBHXTs4ZrAFBb","637db048-cf31-4bd1-ace0-d17f6cace1c5","submitted_via_web",2025-02-07 09:29:27,NA,"mattkuch87","uuid:637db048-cf31-4bd1-ace0-d17f6cace1c5",NA
2025-02-10 09:55:39.883,2025-02-10 10:00:05.075,2025-02-10,"4","cogs",NA,NA,"cogs_vet",NA,"Gombolo vaccine",1000,13,13000,13000,"Withdrawn money","1739181593398.jpg",438972154,"465cf73fec9d4570897ec1ad4b0948db","vndXtdUm72BfFettfRRAK9","uuid:eebb5f2f-c50e-499b-bbae-0093c716686b","aZd296rDmYBHXTs4ZrAFBb","eebb5f2f-c50e-499b-bbae-0093c716686b","submitted_via_web",2025-02-10 10:00:31,NA,"mattkuch87","uuid:eebb5f2f-c50e-499b-bbae-0093c716686b",NA
2025-02-10 10:01:14.347,2025-02-10 10:07:35.747,2025-02-10,"4","opex",NA,"opex_transport",NA,NA,"Transport from kiziri to kiwenda then to busiika and back to kiziri",5000,5000,5000,2.5e+07,"Withdrawn money","1739182045060.jpg",438974910,"465cf73fec9d4570897ec1ad4b0948db","vndXtdUm72BfFettfRRAK9","uuid:3a70b851-b833-4128-95ef-8c71790a6626","aZd296rDmYBHXTs4ZrAFBb","3a70b851-b833-4128-95ef-8c71790a6626","submitted_via_web",2025-02-10 10:07:50,NA,"mattkuch87","uuid:3a70b851-b833-4128-95ef-8c71790a6626",NA
2025-02-10 17:09:52.106,2025-02-10 17:11:45.586,2025-02-10,"4","opex",NA,"opex_transport",NA,NA,"From kiziri to kiwenda and back to kiziri",2000,2000,2000,4e+06,"Cash at hand","1739207490521.jpg",439150263,"465cf73fec9d4570897ec1ad4b0948db","vndXtdUm72BfFettfRRAK9","uuid:95d4c635-85e1-4b2d-a236-a7f548a9f81e","aZd296rDmYBHXTs4ZrAFBb","95d4c635-85e1-4b2d-a236-a7f548a9f81e","submitted_via_web",2025-02-10 17:11:59,NA,"mattkuch87","uuid:95d4c635-85e1-4b2d-a236-a7f548a9f81e",NA
